t,p_t_x,p_t_y,h_t,v_t,e_t,|A_t|,|M_t|,Pi
314,2.99,-107.95,5.04,2.00,0.9945,19,0,None
315,2.99,-107.95,5.04,2.00,0.9945,19,0,None
316,2.99,-107.95,5.04,2.00,0.9945,19,0,None
317,2.93,-107.80,5.04,2.00,0.9944,19,0,None
318,2.93,-107.80,5.04,2.00,0.9944,19,0,None
319,2.89,-107.70,5.05,2.01,0.9944,19,0,None
320,2.89,-107.70,5.05,2.01,0.9944,19,0,None
321,2.89,-107.70,5.05,2.01,0.9944,19,0,None
322,2.89,-107.70,5.05,2.01,0.9944,19,0,None
323,2.83,-107.57,5.08,2.05,0.9943,19,0,None
324,2.83,-107.57,5.08,2.05,0.9943,19,0,None
325,2.83,-107.57,5.08,2.05,0.9943,19,0,None
326,2.83,-107.57,5.08,2.05,0.9943,19,0,None
327,2.77,-107.41,5.12,2.05,0.9943,19,0,None
328,2.77,-107.41,5.12,2.05,0.9943,19,0,None
329,2.77,-107.41,5.12,2.05,0.9943,19,0,None
330,2.73,-107.31,5.14,2.05,0.9943,19,0,None
331,2.73,-107.31,5.14,2.05,0.9943,19,0,None
332,2.73,-107.31,5.14,2.05,0.9943,19,0,None
333,2.68,-107.18,5.17,2.05,0.9942,19,0,None
334,2.68,-107.18,5.17,2.05,0.9942,19,0,None
335,2.65,-107.10,5.19,2.05,0.9942,19,0,None
336,2.65,-107.10,5.19,2.05,0.9942,19,0,None
337,2.65,-107.10,5.19,2.05,0.9942,19,0,None
338,2.65,-107.10,5.19,2.05,0.9942,19,0,None
339,2.59,-106.98,5.22,2.05,0.9942,19,0,None
340,2.59,-106.98,5.22,2.05,0.9942,19,0,None
341,2.57,-106.91,5.24,2.05,0.9942,19,0,None
342,2.57,-106.91,5.24,2.05,0.9942,19,0,None
343,2.57,-106.91,5.24,2.05,0.9942,19,0,None
344,2.52,-106.80,5.26,2.05,0.9941,19,0,None
345,2.52,-106.80,5.26,2.05,0.9941,19,0,None
346,2.52,-106.80,5.26,2.05,0.9941,19,0,None
347,2.52,-106.80,5.26,2.05,0.9941,19,0,None
348,2.52,-106.80,5.26,2.05,0.9941,19,0,None
349,2.44,-106.59,5.28,2.00,0.9941,19,0,None
